"date","bread_hits","state"
2020-02-18,39,"Wyoming"
2020-02-19,26,"Wyoming"
2020-02-20,22,"Wyoming"
2020-02-21,27,"Wyoming"
2020-02-22,23,"Wyoming"
2020-02-23,30,"Wyoming"
2020-02-24,29,"Wyoming"
2020-02-25,25,"Wyoming"
2020-02-26,25,"Wyoming"
2020-02-27,21,"Wyoming"
2020-02-28,20,"Wyoming"
2020-02-29,35,"Wyoming"
2020-03-01,33,"Wyoming"
2020-03-02,20,"Wyoming"
2020-03-03,32,"Wyoming"
2020-03-04,13,"Wyoming"
2020-03-05,26,"Wyoming"
2020-03-06,14,"Wyoming"
2020-03-07,46,"Wyoming"
2020-03-08,35,"Wyoming"
2020-03-09,29,"Wyoming"
2020-03-10,19,"Wyoming"
2020-03-11,25,"Wyoming"
2020-03-12,18,"Wyoming"
2020-03-13,21,"Wyoming"
2020-03-14,43,"Wyoming"
2020-03-15,70,"Wyoming"
2020-03-16,49,"Wyoming"
2020-03-17,72,"Wyoming"
2020-03-18,62,"Wyoming"
2020-03-19,52,"Wyoming"
2020-03-20,74,"Wyoming"
2020-03-21,87,"Wyoming"
2020-03-22,78,"Wyoming"
2020-03-23,44,"Wyoming"
2020-03-24,29,"Wyoming"
2020-03-25,58,"Wyoming"
2020-03-26,47,"Wyoming"
2020-03-27,83,"Wyoming"
2020-03-28,74,"Wyoming"
2020-03-29,62,"Wyoming"
2020-03-30,47,"Wyoming"
2020-03-31,50,"Wyoming"
2020-04-01,41,"Wyoming"
2020-04-02,51,"Wyoming"
2020-04-03,47,"Wyoming"
2020-04-04,100,"Wyoming"
2020-04-05,87,"Wyoming"
2020-04-06,39,"Wyoming"
2020-04-07,49,"Wyoming"
2020-04-08,54,"Wyoming"
2020-04-09,36,"Wyoming"
2020-04-10,49,"Wyoming"
2020-04-11,64,"Wyoming"
2020-04-12,82,"Wyoming"
2020-04-13,43,"Wyoming"
2020-04-14,66,"Wyoming"
2020-04-15,39,"Wyoming"
2020-04-16,46,"Wyoming"
2020-04-17,33,"Wyoming"
2020-04-18,38,"Wyoming"
2020-04-19,43,"Wyoming"
2020-04-20,19,"Wyoming"
2020-04-21,46,"Wyoming"
2020-04-22,39,"Wyoming"
2020-04-23,53,"Wyoming"
2020-04-24,48,"Wyoming"
2020-04-25,66,"Wyoming"
2020-04-26,58,"Wyoming"
2020-04-27,30,"Wyoming"
2020-04-28,26,"Wyoming"
2020-04-29,18,"Wyoming"
2020-04-30,33,"Wyoming"
2020-05-01,32,"Wyoming"
2020-05-02,48,"Wyoming"
2020-05-03,50,"Wyoming"
2020-05-04,23,"Wyoming"
2020-05-05,18,"Wyoming"
2020-05-06,28,"Wyoming"
2020-05-07,53,"Wyoming"
2020-05-08,37,"Wyoming"
2020-05-09,37,"Wyoming"
2020-05-10,52,"Wyoming"
2020-05-11,43,"Wyoming"
2020-05-12,52,"Wyoming"
2020-05-13,27,"Wyoming"
2020-05-14,39,"Wyoming"
2020-05-15,32,"Wyoming"
2020-05-16,33,"Wyoming"
2020-02-18,34,"Wisconsin"
2020-02-19,33,"Wisconsin"
2020-02-20,38,"Wisconsin"
2020-02-21,36,"Wisconsin"
2020-02-22,38,"Wisconsin"
2020-02-23,47,"Wisconsin"
2020-02-24,35,"Wisconsin"
2020-02-25,35,"Wisconsin"
2020-02-26,39,"Wisconsin"
2020-02-27,33,"Wisconsin"
2020-02-28,32,"Wisconsin"
2020-02-29,35,"Wisconsin"
2020-03-01,45,"Wisconsin"
2020-03-02,25,"Wisconsin"
2020-03-03,33,"Wisconsin"
2020-03-04,33,"Wisconsin"
2020-03-05,35,"Wisconsin"
2020-03-06,38,"Wisconsin"
2020-03-07,31,"Wisconsin"
2020-03-08,37,"Wisconsin"
2020-03-09,43,"Wisconsin"
2020-03-10,35,"Wisconsin"
2020-03-11,29,"Wisconsin"
2020-03-12,30,"Wisconsin"
2020-03-13,33,"Wisconsin"
2020-03-14,36,"Wisconsin"
2020-03-15,62,"Wisconsin"
2020-03-16,46,"Wisconsin"
2020-03-17,61,"Wisconsin"
2020-03-18,55,"Wisconsin"
2020-03-19,63,"Wisconsin"
2020-03-20,66,"Wisconsin"
2020-03-21,87,"Wisconsin"
2020-03-22,100,"Wisconsin"
2020-03-23,70,"Wisconsin"
2020-03-24,59,"Wisconsin"
2020-03-25,54,"Wisconsin"
2020-03-26,60,"Wisconsin"
2020-03-27,57,"Wisconsin"
2020-03-28,93,"Wisconsin"
2020-03-29,95,"Wisconsin"
2020-03-30,59,"Wisconsin"
2020-03-31,67,"Wisconsin"
2020-04-01,55,"Wisconsin"
2020-04-02,60,"Wisconsin"
2020-04-03,64,"Wisconsin"
2020-04-04,88,"Wisconsin"
2020-04-05,82,"Wisconsin"
2020-04-06,66,"Wisconsin"
2020-04-07,68,"Wisconsin"
2020-04-08,67,"Wisconsin"
2020-04-09,63,"Wisconsin"
2020-04-10,71,"Wisconsin"
2020-04-11,84,"Wisconsin"
2020-04-12,86,"Wisconsin"
2020-04-13,48,"Wisconsin"
2020-04-14,57,"Wisconsin"
2020-04-15,53,"Wisconsin"
2020-04-16,58,"Wisconsin"
2020-04-17,53,"Wisconsin"
2020-04-18,62,"Wisconsin"
2020-04-19,81,"Wisconsin"
2020-04-20,61,"Wisconsin"
2020-04-21,59,"Wisconsin"
2020-04-22,62,"Wisconsin"
2020-04-23,59,"Wisconsin"
2020-04-24,54,"Wisconsin"
2020-04-25,68,"Wisconsin"
2020-04-26,63,"Wisconsin"
2020-04-27,56,"Wisconsin"
2020-04-28,58,"Wisconsin"
2020-04-29,71,"Wisconsin"
2020-04-30,54,"Wisconsin"
2020-05-01,53,"Wisconsin"
2020-05-02,58,"Wisconsin"
2020-05-03,66,"Wisconsin"
2020-05-04,50,"Wisconsin"
2020-05-05,49,"Wisconsin"
