"date","coronavirus_hits","state"
2020-02-18,3,"Wyoming"
2020-02-19,3,"Wyoming"
2020-02-20,3,"Wyoming"
2020-02-21,3,"Wyoming"
2020-02-22,3,"Wyoming"
2020-02-23,1,"Wyoming"
2020-02-24,5,"Wyoming"
2020-02-25,10,"Wyoming"
2020-02-26,10,"Wyoming"
2020-02-27,10,"Wyoming"
2020-02-28,14,"Wyoming"
2020-02-29,14,"Wyoming"
2020-03-01,12,"Wyoming"
2020-03-02,17,"Wyoming"
2020-03-03,17,"Wyoming"
2020-03-04,12,"Wyoming"
2020-03-05,13,"Wyoming"
2020-03-06,22,"Wyoming"
2020-03-07,13,"Wyoming"
2020-03-08,24,"Wyoming"
2020-03-09,24,"Wyoming"
2020-03-10,32,"Wyoming"
2020-03-11,43,"Wyoming"
2020-03-12,100,"Wyoming"
2020-03-13,79,"Wyoming"
2020-03-14,73,"Wyoming"
2020-03-15,81,"Wyoming"
2020-03-16,77,"Wyoming"
2020-03-17,74,"Wyoming"
2020-03-18,67,"Wyoming"
2020-03-19,68,"Wyoming"
2020-03-20,58,"Wyoming"
2020-03-21,65,"Wyoming"
2020-03-22,72,"Wyoming"
2020-03-23,65,"Wyoming"
2020-03-24,53,"Wyoming"
2020-03-25,65,"Wyoming"
2020-03-26,63,"Wyoming"
2020-03-27,66,"Wyoming"
2020-03-28,65,"Wyoming"
2020-03-29,57,"Wyoming"
2020-03-30,50,"Wyoming"
2020-03-31,56,"Wyoming"
2020-04-01,57,"Wyoming"
2020-04-02,42,"Wyoming"
2020-04-03,51,"Wyoming"
2020-04-04,58,"Wyoming"
2020-04-05,59,"Wyoming"
2020-04-06,57,"Wyoming"
2020-04-07,50,"Wyoming"
2020-04-08,42,"Wyoming"
2020-04-09,38,"Wyoming"
2020-04-10,44,"Wyoming"
2020-04-11,33,"Wyoming"
2020-04-12,32,"Wyoming"
2020-04-13,37,"Wyoming"
2020-04-14,31,"Wyoming"
2020-04-15,31,"Wyoming"
2020-04-16,33,"Wyoming"
2020-04-17,29,"Wyoming"
2020-04-18,35,"Wyoming"
2020-04-19,27,"Wyoming"
2020-04-20,28,"Wyoming"
2020-04-21,33,"Wyoming"
2020-04-22,21,"Wyoming"
2020-04-23,28,"Wyoming"
2020-04-24,29,"Wyoming"
2020-04-25,25,"Wyoming"
2020-04-26,19,"Wyoming"
2020-04-27,16,"Wyoming"
2020-04-28,20,"Wyoming"
2020-04-29,17,"Wyoming"
2020-04-30,13,"Wyoming"
2020-05-01,13,"Wyoming"
2020-05-02,13,"Wyoming"
2020-05-03,17,"Wyoming"
2020-05-04,15,"Wyoming"
2020-05-05,14,"Wyoming"
2020-05-06,13,"Wyoming"
2020-05-07,15,"Wyoming"
2020-05-08,16,"Wyoming"
2020-05-09,13,"Wyoming"
2020-05-10,11,"Wyoming"
2020-05-11,12,"Wyoming"
2020-05-12,11,"Wyoming"
2020-05-13,13,"Wyoming"
2020-05-14,11,"Wyoming"
2020-05-15,10,"Wyoming"
2020-05-16,12,"Wyoming"
2020-02-18,3,"Wisconsin"
2020-02-19,2,"Wisconsin"
2020-02-20,3,"Wisconsin"
2020-02-21,3,"Wisconsin"
2020-02-22,3,"Wisconsin"
2020-02-23,3,"Wisconsin"
2020-02-24,5,"Wisconsin"
2020-02-25,7,"Wisconsin"
2020-02-26,11,"Wisconsin"
2020-02-27,12,"Wisconsin"
2020-02-28,13,"Wisconsin"
2020-02-29,12,"Wisconsin"
2020-03-01,11,"Wisconsin"
2020-03-02,15,"Wisconsin"
2020-03-03,15,"Wisconsin"
2020-03-04,14,"Wisconsin"
2020-03-05,16,"Wisconsin"
2020-03-06,16,"Wisconsin"
2020-03-07,17,"Wisconsin"
2020-03-08,16,"Wisconsin"
2020-03-09,22,"Wisconsin"
2020-03-10,34,"Wisconsin"
2020-03-11,49,"Wisconsin"
2020-03-12,92,"Wisconsin"
2020-03-13,87,"Wisconsin"
2020-03-14,80,"Wisconsin"
2020-03-15,100,"Wisconsin"
2020-03-16,93,"Wisconsin"
2020-03-17,88,"Wisconsin"
2020-03-18,83,"Wisconsin"
2020-03-19,77,"Wisconsin"
2020-03-20,75,"Wisconsin"
2020-03-21,75,"Wisconsin"
2020-03-22,76,"Wisconsin"
2020-03-23,74,"Wisconsin"
2020-03-24,63,"Wisconsin"
2020-03-25,56,"Wisconsin"
2020-03-26,55,"Wisconsin"
2020-03-27,56,"Wisconsin"
2020-03-28,52,"Wisconsin"
2020-03-29,50,"Wisconsin"
2020-03-30,46,"Wisconsin"
2020-03-31,44,"Wisconsin"
2020-04-01,41,"Wisconsin"
2020-04-02,40,"Wisconsin"
2020-04-03,46,"Wisconsin"
2020-04-04,53,"Wisconsin"
2020-04-05,50,"Wisconsin"
2020-04-06,49,"Wisconsin"
2020-04-07,46,"Wisconsin"
2020-04-08,44,"Wisconsin"
2020-04-09,41,"Wisconsin"
2020-04-10,39,"Wisconsin"
2020-04-11,30,"Wisconsin"
2020-04-12,25,"Wisconsin"
2020-04-13,36,"Wisconsin"
2020-04-14,36,"Wisconsin"
2020-04-15,35,"Wisconsin"
2020-04-16,37,"Wisconsin"
2020-04-17,35,"Wisconsin"
2020-04-18,35,"Wisconsin"
2020-04-19,27,"Wisconsin"
2020-04-20,29,"Wisconsin"
2020-04-21,31,"Wisconsin"
2020-04-22,23,"Wisconsin"
