"date","sourdough_hits","state"
2020-02-18,0,"Wyoming"
2020-02-19,0,"Wyoming"
2020-02-20,0,"Wyoming"
2020-02-21,0,"Wyoming"
2020-02-22,0,"Wyoming"
2020-02-23,38,"Wyoming"
2020-02-24,33,"Wyoming"
2020-02-25,33,"Wyoming"
2020-02-26,0,"Wyoming"
2020-02-27,0,"Wyoming"
2020-02-28,0,"Wyoming"
2020-02-29,0,"Wyoming"
2020-03-01,0,"Wyoming"
2020-03-02,0,"Wyoming"
2020-03-03,0,"Wyoming"
2020-03-04,0,"Wyoming"
2020-03-05,0,"Wyoming"
2020-03-06,0,"Wyoming"
2020-03-07,0,"Wyoming"
2020-03-08,0,"Wyoming"
2020-03-09,34,"Wyoming"
2020-03-10,68,"Wyoming"
2020-03-11,0,"Wyoming"
2020-03-12,0,"Wyoming"
2020-03-13,0,"Wyoming"
2020-03-14,0,"Wyoming"
2020-03-15,57,"Wyoming"
2020-03-16,0,"Wyoming"
2020-03-17,34,"Wyoming"
2020-03-18,0,"Wyoming"
2020-03-19,32,"Wyoming"
2020-03-20,62,"Wyoming"
2020-03-21,55,"Wyoming"
2020-03-22,36,"Wyoming"
2020-03-23,32,"Wyoming"
2020-03-24,0,"Wyoming"
2020-03-25,0,"Wyoming"
2020-03-26,0,"Wyoming"
2020-03-27,51,"Wyoming"
2020-03-28,70,"Wyoming"
2020-03-29,36,"Wyoming"
2020-03-30,32,"Wyoming"
2020-03-31,46,"Wyoming"
2020-04-01,30,"Wyoming"
2020-04-02,74,"Wyoming"
2020-04-03,93,"Wyoming"
2020-04-04,58,"Wyoming"
2020-04-05,35,"Wyoming"
2020-04-06,59,"Wyoming"
2020-04-07,30,"Wyoming"
2020-04-08,31,"Wyoming"
2020-04-09,62,"Wyoming"
2020-04-10,100,"Wyoming"
2020-04-11,70,"Wyoming"
2020-04-12,35,"Wyoming"
2020-04-13,29,"Wyoming"
2020-04-14,29,"Wyoming"
2020-04-15,0,"Wyoming"
2020-04-16,68,"Wyoming"
2020-04-17,29,"Wyoming"
2020-04-18,35,"Wyoming"
2020-04-19,51,"Wyoming"
2020-04-20,59,"Wyoming"
2020-04-21,31,"Wyoming"
2020-04-22,41,"Wyoming"
2020-04-23,30,"Wyoming"
2020-04-24,59,"Wyoming"
2020-04-25,0,"Wyoming"
2020-04-26,35,"Wyoming"
2020-04-27,30,"Wyoming"
2020-04-28,30,"Wyoming"
2020-04-29,31,"Wyoming"
2020-04-30,44,"Wyoming"
2020-05-01,31,"Wyoming"
2020-05-02,34,"Wyoming"
2020-05-03,36,"Wyoming"
2020-05-04,89,"Wyoming"
2020-05-05,29,"Wyoming"
2020-05-06,0,"Wyoming"
2020-05-07,0,"Wyoming"
2020-05-08,32,"Wyoming"
2020-05-09,0,"Wyoming"
2020-05-10,37,"Wyoming"
2020-05-11,62,"Wyoming"
2020-05-12,32,"Wyoming"
2020-05-13,30,"Wyoming"
2020-05-14,32,"Wyoming"
2020-05-15,31,"Wyoming"
2020-05-16,36,"Wyoming"
2020-02-18,13,"Wisconsin"
2020-02-19,17,"Wisconsin"
2020-02-20,26,"Wisconsin"
2020-02-21,14,"Wisconsin"
2020-02-22,26,"Wisconsin"
2020-02-23,24,"Wisconsin"
2020-02-24,17,"Wisconsin"
2020-02-25,21,"Wisconsin"
2020-02-26,0,"Wisconsin"
2020-02-27,8,"Wisconsin"
2020-02-28,18,"Wisconsin"
2020-02-29,13,"Wisconsin"
2020-03-01,20,"Wisconsin"
2020-03-02,9,"Wisconsin"
2020-03-03,13,"Wisconsin"
2020-03-04,20,"Wisconsin"
2020-03-05,29,"Wisconsin"
2020-03-06,15,"Wisconsin"
2020-03-07,15,"Wisconsin"
2020-03-08,21,"Wisconsin"
2020-03-09,13,"Wisconsin"
2020-03-10,17,"Wisconsin"
2020-03-11,9,"Wisconsin"
2020-03-12,8,"Wisconsin"
2020-03-13,26,"Wisconsin"
2020-03-14,10,"Wisconsin"
2020-03-15,20,"Wisconsin"
2020-03-16,26,"Wisconsin"
2020-03-17,17,"Wisconsin"
2020-03-18,17,"Wisconsin"
2020-03-19,25,"Wisconsin"
2020-03-20,48,"Wisconsin"
2020-03-21,37,"Wisconsin"
2020-03-22,37,"Wisconsin"
2020-03-23,28,"Wisconsin"
2020-03-24,39,"Wisconsin"
2020-03-25,34,"Wisconsin"
2020-03-26,46,"Wisconsin"
2020-03-27,43,"Wisconsin"
2020-03-28,68,"Wisconsin"
2020-03-29,26,"Wisconsin"
2020-03-30,37,"Wisconsin"
2020-03-31,44,"Wisconsin"
2020-04-01,55,"Wisconsin"
2020-04-02,37,"Wisconsin"
2020-04-03,45,"Wisconsin"
2020-04-04,54,"Wisconsin"
2020-04-05,83,"Wisconsin"
2020-04-06,44,"Wisconsin"
2020-04-07,37,"Wisconsin"
2020-04-08,59,"Wisconsin"
2020-04-09,75,"Wisconsin"
2020-04-10,64,"Wisconsin"
2020-04-11,64,"Wisconsin"
2020-04-12,71,"Wisconsin"
2020-04-13,26,"Wisconsin"
2020-04-14,37,"Wisconsin"
2020-04-15,49,"Wisconsin"
2020-04-16,60,"Wisconsin"
2020-04-17,67,"Wisconsin"
2020-04-18,100,"Wisconsin"
2020-04-19,60,"Wisconsin"
2020-04-20,41,"Wisconsin"
2020-04-21,35,"Wisconsin"
2020-04-22,51,"Wisconsin"
2020-04-23,51,"Wisconsin"
2020-04-24,61,"Wisconsin"
2020-04-25,50,"Wisconsin"
2020-04-26,50,"Wisconsin"
2020-04-27,41,"Wisconsin"
2020-04-28,48,"Wisconsin"
2020-04-29,63,"Wisconsin"
2020-04-30,35,"Wisconsin"
2020-05-01,46,"Wisconsin"
2020-05-02,55,"Wisconsin"
2020-05-03,65,"Wisconsin"
2020-05-04,39,"Wisconsin"
2020-05-05,31,"Wisconsin"
2020-05-06,42,"Wisconsin"
2020-05-07,45,"Wisconsin"
2020-05-08,42,"Wisconsin"
2020-05-09,74,"Wisconsin"
2020-05-10,45,"Wisconsin"
2020-05-11,47,"Wisconsin"
2020-05-12,40,"Wisconsin"
2020-05-13,40,"Wisconsin"
2020-05-14,49,"Wisconsin"
2020-05-15,39,"Wisconsin"
2020-05-16,45,"Wisconsin"
2020-02-18,0,"West Virginia"
2020-02-19,0,"West Virginia"
2020-02-20,28,"West Virginia"
2020-02-21,0,"West Virginia"
2020-02-22,0,"West Virginia"
2020-02-23,0,"West Virginia"
2020-02-24,28,"West Virginia"
2020-02-25,0,"West Virginia"
2020-02-26,0,"West Virginia"
2020-02-27,0,"West Virginia"
2020-02-28,54,"West Virginia"
2020-02-29,0,"West Virginia"
2020-03-01,32,"West Virginia"
2020-03-02,26,"West Virginia"
2020-03-03,27,"West Virginia"
2020-03-04,0,"West Virginia"
2020-03-05,0,"West Virginia"
2020-03-06,27,"West Virginia"
2020-03-07,0,"West Virginia"
2020-03-08,0,"West Virginia"
2020-03-09,0,"West Virginia"
2020-03-10,0,"West Virginia"
2020-03-11,28,"West Virginia"
2020-03-12,28,"West Virginia"
2020-03-13,0,"West Virginia"
2020-03-14,32,"West Virginia"
2020-03-15,0,"West Virginia"
2020-03-16,28,"West Virginia"
2020-03-17,0,"West Virginia"
2020-03-18,0,"West Virginia"
2020-03-19,0,"West Virginia"
2020-03-20,26,"West Virginia"
2020-03-21,29,"West Virginia"
2020-03-22,29,"West Virginia"
2020-03-23,23,"West Virginia"
2020-03-24,26,"West Virginia"
2020-03-25,26,"West Virginia"
2020-03-26,0,"West Virginia"
2020-03-27,25,"West Virginia"
2020-03-28,0,"West Virginia"
2020-03-29,28,"West Virginia"
2020-03-30,25,"West Virginia"
2020-03-31,50,"West Virginia"
2020-04-01,100,"West Virginia"
2020-04-02,38,"West Virginia"
2020-04-03,27,"West Virginia"
2020-04-04,30,"West Virginia"
2020-04-05,88,"West Virginia"
2020-04-06,0,"West Virginia"
2020-04-07,26,"West Virginia"
2020-04-08,0,"West Virginia"
2020-04-09,26,"West Virginia"
2020-04-10,26,"West Virginia"
2020-04-11,43,"West Virginia"
2020-04-12,58,"West Virginia"
2020-04-13,74,"West Virginia"
2020-04-14,48,"West Virginia"
2020-04-15,24,"West Virginia"
2020-04-16,24,"West Virginia"
2020-04-17,0,"West Virginia"
2020-04-18,26,"West Virginia"
2020-04-19,0,"West Virginia"
2020-04-20,25,"West Virginia"
2020-04-21,50,"West Virginia"
2020-04-22,0,"West Virginia"
2020-04-23,48,"West Virginia"
2020-04-24,73,"West Virginia"
2020-04-25,53,"West Virginia"
2020-04-26,26,"West Virginia"
2020-04-27,0,"West Virginia"
2020-04-28,25,"West Virginia"
2020-04-29,51,"West Virginia"
2020-04-30,23,"West Virginia"
2020-05-01,38,"West Virginia"
2020-05-02,30,"West Virginia"
2020-05-03,58,"West Virginia"
2020-05-04,25,"West Virginia"
2020-05-05,0,"West Virginia"
2020-05-06,25,"West Virginia"
2020-05-07,27,"West Virginia"
2020-05-08,0,"West Virginia"
2020-05-09,41,"West Virginia"
2020-05-10,30,"West Virginia"
2020-05-11,25,"West Virginia"
2020-05-12,53,"West Virginia"
2020-05-13,27,"West Virginia"
2020-05-14,26,"West Virginia"
2020-05-15,0,"West Virginia"
2020-05-16,30,"West Virginia"
2020-02-18,8,"Washington"
2020-02-19,9,"Washington"
2020-02-20,8,"Washington"
2020-02-21,9,"Washington"
2020-02-22,14,"Washington"
2020-02-23,15,"Washington"
2020-02-24,7,"Washington"
2020-02-25,16,"Washington"
2020-02-26,14,"Washington"
2020-02-27,9,"Washington"
2020-02-28,11,"Washington"
2020-02-29,10,"Washington"
2020-03-01,15,"Washington"
2020-03-02,16,"Washington"
2020-03-03,11,"Washington"
2020-03-04,6,"Washington"
2020-03-05,7,"Washington"
2020-03-06,16,"Washington"
2020-03-07,27,"Washington"
2020-03-08,11,"Washington"
2020-03-09,11,"Washington"
2020-03-10,9,"Washington"
2020-03-11,12,"Washington"
2020-03-12,13,"Washington"
2020-03-13,5,"Washington"
2020-03-14,16,"Washington"
2020-03-15,22,"Washington"
2020-03-16,15,"Washington"
2020-03-17,24,"Washington"
2020-03-18,24,"Washington"
2020-03-19,27,"Washington"
2020-03-20,35,"Washington"
2020-03-21,31,"Washington"
2020-03-22,39,"Washington"
2020-03-23,35,"Washington"
2020-03-24,29,"Washington"
2020-03-25,44,"Washington"
2020-03-26,42,"Washington"
2020-03-27,57,"Washington"
2020-03-28,60,"Washington"
2020-03-29,93,"Washington"
2020-03-30,61,"Washington"
2020-03-31,46,"Washington"
2020-04-01,50,"Washington"
2020-04-02,42,"Washington"
2020-04-03,49,"Washington"
2020-04-04,86,"Washington"
2020-04-05,94,"Washington"
2020-04-06,64,"Washington"
2020-04-07,61,"Washington"
2020-04-08,62,"Washington"
2020-04-09,74,"Washington"
2020-04-10,58,"Washington"
2020-04-11,100,"Washington"
2020-04-12,93,"Washington"
2020-04-13,49,"Washington"
2020-04-14,64,"Washington"
2020-04-15,54,"Washington"
2020-04-16,61,"Washington"
2020-04-17,78,"Washington"
2020-04-18,78,"Washington"
2020-04-19,94,"Washington"
2020-04-20,55,"Washington"
2020-04-21,75,"Washington"
2020-04-22,51,"Washington"
2020-04-23,58,"Washington"
2020-04-24,62,"Washington"
2020-04-25,77,"Washington"
2020-04-26,89,"Washington"
2020-04-27,57,"Washington"
2020-04-28,65,"Washington"
2020-04-29,47,"Washington"
2020-04-30,58,"Washington"
2020-05-01,61,"Washington"
2020-05-02,95,"Washington"
2020-05-03,92,"Washington"
2020-05-04,56,"Washington"
2020-05-05,65,"Washington"
2020-05-06,45,"Washington"
2020-05-07,55,"Washington"
2020-05-08,53,"Washington"
2020-05-09,66,"Washington"
2020-05-10,62,"Washington"
2020-05-11,46,"Washington"
2020-05-12,59,"Washington"
2020-05-13,48,"Washington"
2020-05-14,55,"Washington"
2020-05-15,54,"Washington"
2020-05-16,84,"Washington"
2020-02-18,8,"Virginia"
2020-02-19,14,"Virginia"
2020-02-20,16,"Virginia"
2020-02-21,9,"Virginia"
2020-02-22,13,"Virginia"
2020-02-23,20,"Virginia"
2020-02-24,11,"Virginia"
2020-02-25,14,"Virginia"
2020-02-26,14,"Virginia"
2020-02-27,8,"Virginia"
2020-02-28,9,"Virginia"
2020-02-29,18,"Virginia"
2020-03-01,9,"Virginia"
2020-03-02,17,"Virginia"
2020-03-03,7,"Virginia"
2020-03-04,16,"Virginia"
2020-03-05,9,"Virginia"
2020-03-06,19,"Virginia"
2020-03-07,9,"Virginia"
2020-03-08,17,"Virginia"
2020-03-09,16,"Virginia"
2020-03-10,11,"Virginia"
2020-03-11,11,"Virginia"
2020-03-12,5,"Virginia"
2020-03-13,13,"Virginia"
2020-03-14,19,"Virginia"
2020-03-15,20,"Virginia"
2020-03-16,19,"Virginia"
2020-03-17,16,"Virginia"
2020-03-18,28,"Virginia"
2020-03-19,14,"Virginia"
2020-03-20,26,"Virginia"
2020-03-21,34,"Virginia"
2020-03-22,44,"Virginia"
2020-03-23,36,"Virginia"
2020-03-24,29,"Virginia"
2020-03-25,26,"Virginia"
2020-03-26,31,"Virginia"
2020-03-27,17,"Virginia"
2020-03-28,44,"Virginia"
2020-03-29,47,"Virginia"
2020-03-30,34,"Virginia"
2020-03-31,47,"Virginia"
2020-04-01,53,"Virginia"
2020-04-02,48,"Virginia"
2020-04-03,51,"Virginia"
2020-04-04,49,"Virginia"
2020-04-05,65,"Virginia"
2020-04-06,49,"Virginia"
2020-04-07,49,"Virginia"
2020-04-08,51,"Virginia"
2020-04-09,53,"Virginia"
