"date","ticketmaster_hits","state"
2020-02-18,0,"Wyoming"
2020-02-19,0,"Wyoming"
2020-02-20,0,"Wyoming"
2020-02-21,0,"Wyoming"
2020-02-22,55,"Wyoming"
2020-02-23,0,"Wyoming"
2020-02-24,43,"Wyoming"
2020-02-25,44,"Wyoming"
2020-02-26,43,"Wyoming"
2020-02-27,0,"Wyoming"
2020-02-28,47,"Wyoming"
2020-02-29,0,"Wyoming"
2020-03-01,100,"Wyoming"
2020-03-02,0,"Wyoming"
2020-03-03,45,"Wyoming"
2020-03-04,0,"Wyoming"
2020-03-05,0,"Wyoming"
2020-03-06,0,"Wyoming"
2020-03-07,0,"Wyoming"
2020-03-08,0,"Wyoming"
2020-03-09,0,"Wyoming"
2020-03-10,45,"Wyoming"
2020-03-11,44,"Wyoming"
2020-03-12,41,"Wyoming"
2020-03-13,0,"Wyoming"
2020-03-14,0,"Wyoming"
2020-03-15,0,"Wyoming"
2020-03-16,0,"Wyoming"
2020-03-17,87,"Wyoming"
2020-03-18,0,"Wyoming"
2020-03-19,42,"Wyoming"
2020-03-20,0,"Wyoming"
2020-03-21,0,"Wyoming"
2020-03-22,0,"Wyoming"
2020-03-23,42,"Wyoming"
2020-03-24,0,"Wyoming"
2020-03-25,0,"Wyoming"
2020-03-26,0,"Wyoming"
2020-03-27,0,"Wyoming"
2020-03-28,0,"Wyoming"
2020-03-29,0,"Wyoming"
2020-03-30,0,"Wyoming"
2020-03-31,0,"Wyoming"
2020-04-01,38,"Wyoming"
2020-04-02,0,"Wyoming"
2020-04-03,0,"Wyoming"
2020-04-04,0,"Wyoming"
2020-04-05,0,"Wyoming"
2020-04-06,0,"Wyoming"
2020-04-07,0,"Wyoming"
2020-04-08,0,"Wyoming"
2020-04-09,0,"Wyoming"
2020-04-10,0,"Wyoming"
2020-04-11,0,"Wyoming"
2020-04-12,0,"Wyoming"
2020-04-13,0,"Wyoming"
2020-04-14,0,"Wyoming"
2020-04-15,0,"Wyoming"
2020-04-16,0,"Wyoming"
2020-04-17,0,"Wyoming"
2020-04-18,0,"Wyoming"
2020-04-19,0,"Wyoming"
2020-04-20,0,"Wyoming"
2020-04-21,0,"Wyoming"
2020-04-22,0,"Wyoming"
2020-04-23,0,"Wyoming"
2020-04-24,0,"Wyoming"
2020-04-25,0,"Wyoming"
2020-04-26,0,"Wyoming"
2020-04-27,0,"Wyoming"
2020-04-28,0,"Wyoming"
2020-04-29,0,"Wyoming"
2020-04-30,0,"Wyoming"
2020-05-01,0,"Wyoming"
2020-05-02,0,"Wyoming"
2020-05-03,0,"Wyoming"
2020-05-04,0,"Wyoming"
2020-05-05,0,"Wyoming"
2020-05-06,0,"Wyoming"
2020-05-07,40,"Wyoming"
2020-05-08,0,"Wyoming"
2020-05-09,0,"Wyoming"
2020-05-10,0,"Wyoming"
2020-05-11,0,"Wyoming"
2020-05-12,0,"Wyoming"
2020-05-13,0,"Wyoming"
2020-05-14,0,"Wyoming"
2020-05-15,0,"Wyoming"
2020-05-16,0,"Wyoming"
2020-02-18,65,"Wisconsin"
2020-02-19,31,"Wisconsin"
2020-02-20,38,"Wisconsin"
2020-02-21,83,"Wisconsin"
2020-02-22,33,"Wisconsin"
2020-02-23,33,"Wisconsin"
2020-02-24,14,"Wisconsin"
2020-02-25,58,"Wisconsin"
2020-02-26,44,"Wisconsin"
2020-02-27,44,"Wisconsin"
2020-02-28,96,"Wisconsin"
2020-02-29,49,"Wisconsin"
2020-03-01,16,"Wisconsin"
2020-03-02,44,"Wisconsin"
2020-03-03,31,"Wisconsin"
2020-03-04,54,"Wisconsin"
2020-03-05,55,"Wisconsin"
2020-03-06,67,"Wisconsin"
2020-03-07,41,"Wisconsin"
2020-03-08,41,"Wisconsin"
2020-03-09,60,"Wisconsin"
2020-03-10,34,"Wisconsin"
2020-03-11,41,"Wisconsin"
2020-03-12,100,"Wisconsin"
2020-03-13,27,"Wisconsin"
2020-03-14,20,"Wisconsin"
2020-03-15,28,"Wisconsin"
2020-03-16,41,"Wisconsin"
2020-03-17,14,"Wisconsin"
2020-03-18,10,"Wisconsin"
2020-03-19,10,"Wisconsin"
2020-03-20,14,"Wisconsin"
2020-03-21,0,"Wisconsin"
2020-03-22,22,"Wisconsin"
2020-03-23,15,"Wisconsin"
2020-03-24,20,"Wisconsin"
2020-03-25,20,"Wisconsin"
2020-03-26,23,"Wisconsin"
2020-03-27,10,"Wisconsin"
2020-03-28,0,"Wisconsin"
2020-03-29,10,"Wisconsin"
2020-03-30,14,"Wisconsin"
2020-03-31,9,"Wisconsin"
2020-04-01,19,"Wisconsin"
2020-04-02,14,"Wisconsin"
2020-04-03,9,"Wisconsin"
2020-04-04,15,"Wisconsin"
2020-04-05,11,"Wisconsin"
2020-04-06,14,"Wisconsin"
2020-04-07,14,"Wisconsin"
2020-04-08,9,"Wisconsin"
2020-04-09,15,"Wisconsin"
2020-04-10,25,"Wisconsin"
2020-04-11,0,"Wisconsin"
2020-04-12,22,"Wisconsin"
2020-04-13,19,"Wisconsin"
2020-04-14,22,"Wisconsin"
2020-04-15,9,"Wisconsin"
2020-04-16,22,"Wisconsin"
2020-04-17,9,"Wisconsin"
2020-04-18,11,"Wisconsin"
2020-04-19,16,"Wisconsin"
2020-04-20,15,"Wisconsin"
2020-04-21,12,"Wisconsin"
2020-04-22,9,"Wisconsin"
2020-04-23,9,"Wisconsin"
2020-04-24,28,"Wisconsin"
2020-04-25,11,"Wisconsin"
2020-04-26,22,"Wisconsin"
2020-04-27,28,"Wisconsin"
2020-04-28,9,"Wisconsin"
2020-04-29,9,"Wisconsin"
2020-04-30,9,"Wisconsin"
2020-05-01,10,"Wisconsin"
2020-05-02,23,"Wisconsin"
2020-05-03,12,"Wisconsin"
2020-05-04,9,"Wisconsin"
2020-05-05,20,"Wisconsin"
2020-05-06,14,"Wisconsin"
2020-05-07,10,"Wisconsin"
2020-05-08,25,"Wisconsin"
2020-05-09,11,"Wisconsin"
2020-05-10,11,"Wisconsin"
2020-05-11,19,"Wisconsin"
2020-05-12,14,"Wisconsin"
2020-05-13,13,"Wisconsin"
2020-05-14,12,"Wisconsin"
2020-05-15,20,"Wisconsin"
2020-05-16,12,"Wisconsin"
2020-02-18,39,"West Virginia"
2020-02-19,31,"West Virginia"
2020-02-20,73,"West Virginia"
2020-02-21,85,"West Virginia"
2020-02-22,36,"West Virginia"
2020-02-23,36,"West Virginia"
2020-02-24,51,"West Virginia"
2020-02-25,100,"West Virginia"
2020-02-26,40,"West Virginia"
2020-02-27,39,"West Virginia"
2020-02-28,82,"West Virginia"
2020-02-29,23,"West Virginia"
2020-03-01,47,"West Virginia"
2020-03-02,19,"West Virginia"
2020-03-03,20,"West Virginia"
2020-03-04,20,"West Virginia"
2020-03-05,42,"West Virginia"
2020-03-06,41,"West Virginia"
2020-03-07,23,"West Virginia"
2020-03-08,48,"West Virginia"
2020-03-09,21,"West Virginia"
2020-03-10,20,"West Virginia"
2020-03-11,63,"West Virginia"
2020-03-12,62,"West Virginia"
2020-03-13,31,"West Virginia"
2020-03-14,24,"West Virginia"
2020-03-15,0,"West Virginia"
2020-03-16,41,"West Virginia"
2020-03-17,40,"West Virginia"
2020-03-18,21,"West Virginia"
2020-03-19,0,"West Virginia"
2020-03-20,0,"West Virginia"
2020-03-21,21,"West Virginia"
2020-03-22,0,"West Virginia"
2020-03-23,0,"West Virginia"
2020-03-24,0,"West Virginia"
2020-03-25,0,"West Virginia"
2020-03-26,20,"West Virginia"
2020-03-27,0,"West Virginia"
2020-03-28,0,"West Virginia"
2020-03-29,0,"West Virginia"
2020-03-30,19,"West Virginia"
2020-03-31,0,"West Virginia"
2020-04-01,0,"West Virginia"
2020-04-02,19,"West Virginia"
2020-04-03,0,"West Virginia"
2020-04-04,0,"West Virginia"
2020-04-05,0,"West Virginia"
2020-04-06,19,"West Virginia"
2020-04-07,19,"West Virginia"
2020-04-08,19,"West Virginia"
2020-04-09,0,"West Virginia"
2020-04-10,20,"West Virginia"
2020-04-11,0,"West Virginia"
2020-04-12,0,"West Virginia"
2020-04-13,0,"West Virginia"
2020-04-14,18,"West Virginia"
2020-04-15,0,"West Virginia"
2020-04-16,36,"West Virginia"
2020-04-17,0,"West Virginia"
2020-04-18,20,"West Virginia"
2020-04-19,0,"West Virginia"
2020-04-20,0,"West Virginia"
2020-04-21,0,"West Virginia"
2020-04-22,0,"West Virginia"
2020-04-23,0,"West Virginia"
2020-04-24,0,"West Virginia"
2020-04-25,0,"West Virginia"
2020-04-26,0,"West Virginia"
2020-04-27,0,"West Virginia"
2020-04-28,0,"West Virginia"
2020-04-29,19,"West Virginia"
2020-04-30,0,"West Virginia"
2020-05-01,19,"West Virginia"
2020-05-02,22,"West Virginia"
2020-05-03,22,"West Virginia"
2020-05-04,0,"West Virginia"
2020-05-05,0,"West Virginia"
2020-05-06,19,"West Virginia"
2020-05-07,20,"West Virginia"
2020-05-08,19,"West Virginia"
2020-05-09,21,"West Virginia"
2020-05-10,0,"West Virginia"
2020-05-11,0,"West Virginia"
2020-05-12,20,"West Virginia"
2020-05-13,0,"West Virginia"
2020-05-14,19,"West Virginia"
2020-05-15,0,"West Virginia"
2020-05-16,22,"West Virginia"
2020-02-18,45,"Washington"
2020-02-19,27,"Washington"
2020-02-20,43,"Washington"
2020-02-21,43,"Washington"
2020-02-22,23,"Washington"
2020-02-23,24,"Washington"
2020-02-24,32,"Washington"
2020-02-25,54,"Washington"
2020-02-26,47,"Washington"
2020-02-27,45,"Washington"
2020-02-28,100,"Washington"
2020-02-29,37,"Washington"
2020-03-01,18,"Washington"
2020-03-02,31,"Washington"
2020-03-03,25,"Washington"
2020-03-04,31,"Washington"
2020-03-05,33,"Washington"
2020-03-06,33,"Washington"
2020-03-07,24,"Washington"
2020-03-08,23,"Washington"
2020-03-09,21,"Washington"
2020-03-10,38,"Washington"
2020-03-11,34,"Washington"
2020-03-12,46,"Washington"
2020-03-13,30,"Washington"
2020-03-14,24,"Washington"
2020-03-15,11,"Washington"
2020-03-16,13,"Washington"
2020-03-17,9,"Washington"
2020-03-18,19,"Washington"
2020-03-19,10,"Washington"
2020-03-20,21,"Washington"
2020-03-21,7,"Washington"
2020-03-22,6,"Washington"
2020-03-23,8,"Washington"
2020-03-24,7,"Washington"
2020-03-25,11,"Washington"
2020-03-26,9,"Washington"
2020-03-27,11,"Washington"
2020-03-28,10,"Washington"
2020-03-29,12,"Washington"
2020-03-30,11,"Washington"
2020-03-31,8,"Washington"
2020-04-01,11,"Washington"
2020-04-02,8,"Washington"
2020-04-03,5,"Washington"
2020-04-04,10,"Washington"
2020-04-05,12,"Washington"
2020-04-06,6,"Washington"
2020-04-07,14,"Washington"
2020-04-08,9,"Washington"
2020-04-09,6,"Washington"
2020-04-10,6,"Washington"
2020-04-11,13,"Washington"
2020-04-12,15,"Washington"
2020-04-13,13,"Washington"
2020-04-14,17,"Washington"
2020-04-15,7,"Washington"
2020-04-16,11,"Washington"
2020-04-17,20,"Washington"
2020-04-18,12,"Washington"
2020-04-19,18,"Washington"
2020-04-20,5,"Washington"
2020-04-21,8,"Washington"
2020-04-22,10,"Washington"
2020-04-23,5,"Washington"
2020-04-24,11,"Washington"
2020-04-25,6,"Washington"
2020-04-26,6,"Washington"
2020-04-27,11,"Washington"
2020-04-28,16,"Washington"
2020-04-29,9,"Washington"
2020-04-30,8,"Washington"
2020-05-01,11,"Washington"
2020-05-02,19,"Washington"
2020-05-03,6,"Washington"
2020-05-04,12,"Washington"
2020-05-05,8,"Washington"
2020-05-06,5,"Washington"
2020-05-07,7,"Washington"
2020-05-08,6,"Washington"
2020-05-09,6,"Washington"
2020-05-10,19,"Washington"
2020-05-11,6,"Washington"
2020-05-12,11,"Washington"
2020-05-13,7,"Washington"
2020-05-14,5,"Washington"
2020-05-15,14,"Washington"
2020-05-16,15,"Washington"
2020-02-18,66,"Virginia"
2020-02-19,37,"Virginia"
2020-02-20,61,"Virginia"
2020-02-21,47,"Virginia"
2020-02-22,70,"Virginia"
2020-02-23,35,"Virginia"
2020-02-24,62,"Virginia"
2020-02-25,58,"Virginia"
2020-02-26,81,"Virginia"
2020-02-27,38,"Virginia"
2020-02-28,82,"Virginia"
2020-02-29,70,"Virginia"
2020-03-01,30,"Virginia"
2020-03-02,51,"Virginia"
2020-03-03,62,"Virginia"
2020-03-04,76,"Virginia"
2020-03-05,82,"Virginia"
2020-03-06,83,"Virginia"
2020-03-07,63,"Virginia"
2020-03-08,67,"Virginia"
2020-03-09,41,"Virginia"
2020-03-10,67,"Virginia"
2020-03-11,78,"Virginia"
2020-03-12,100,"Virginia"
2020-03-13,70,"Virginia"
2020-03-14,39,"Virginia"
2020-03-15,23,"Virginia"
2020-03-16,44,"Virginia"
2020-03-17,8,"Virginia"
2020-03-18,16,"Virginia"
2020-03-19,12,"Virginia"
2020-03-20,28,"Virginia"
2020-03-21,14,"Virginia"
2020-03-22,23,"Virginia"
2020-03-23,25,"Virginia"
2020-03-24,12,"Virginia"
2020-03-25,8,"Virginia"
2020-03-26,8,"Virginia"
2020-03-27,11,"Virginia"
2020-03-28,18,"Virginia"
2020-03-29,18,"Virginia"
2020-03-30,15,"Virginia"
2020-03-31,15,"Virginia"
2020-04-01,7,"Virginia"
2020-04-02,0,"Virginia"
2020-04-03,8,"Virginia"
2020-04-04,13,"Virginia"
2020-04-05,27,"Virginia"
2020-04-06,11,"Virginia"
2020-04-07,12,"Virginia"
2020-04-08,8,"Virginia"
2020-04-09,0,"Virginia"
