"date","zoom_hits","state"
2020-02-18,10,"Wyoming"
2020-02-19,5,"Wyoming"
2020-02-20,0,"Wyoming"
2020-02-21,8,"Wyoming"
2020-02-22,6,"Wyoming"
2020-02-23,6,"Wyoming"
2020-02-24,9,"Wyoming"
2020-02-25,5,"Wyoming"
2020-02-26,5,"Wyoming"
2020-02-27,5,"Wyoming"
2020-02-28,5,"Wyoming"
2020-02-29,6,"Wyoming"
2020-03-01,11,"Wyoming"
2020-03-02,4,"Wyoming"
2020-03-03,5,"Wyoming"
2020-03-04,15,"Wyoming"
2020-03-05,5,"Wyoming"
2020-03-06,5,"Wyoming"
2020-03-07,6,"Wyoming"
2020-03-08,6,"Wyoming"
2020-03-09,5,"Wyoming"
2020-03-10,5,"Wyoming"
2020-03-11,12,"Wyoming"
2020-03-12,5,"Wyoming"
2020-03-13,10,"Wyoming"
2020-03-14,0,"Wyoming"
2020-03-15,11,"Wyoming"
2020-03-16,21,"Wyoming"
2020-03-17,16,"Wyoming"
2020-03-18,16,"Wyoming"
2020-03-19,15,"Wyoming"
2020-03-20,22,"Wyoming"
2020-03-21,34,"Wyoming"
2020-03-22,20,"Wyoming"
2020-03-23,39,"Wyoming"
2020-03-24,24,"Wyoming"
2020-03-25,48,"Wyoming"
2020-03-26,55,"Wyoming"
2020-03-27,40,"Wyoming"
2020-03-28,32,"Wyoming"
2020-03-29,26,"Wyoming"
2020-03-30,69,"Wyoming"
2020-03-31,84,"Wyoming"
2020-04-01,76,"Wyoming"
2020-04-02,71,"Wyoming"
2020-04-03,56,"Wyoming"
2020-04-04,25,"Wyoming"
2020-04-05,45,"Wyoming"
2020-04-06,100,"Wyoming"
2020-04-07,74,"Wyoming"
2020-04-08,67,"Wyoming"
2020-04-09,55,"Wyoming"
2020-04-10,54,"Wyoming"
2020-04-11,13,"Wyoming"
2020-04-12,27,"Wyoming"
2020-04-13,44,"Wyoming"
2020-04-14,40,"Wyoming"
2020-04-15,50,"Wyoming"
2020-04-16,44,"Wyoming"
2020-04-17,36,"Wyoming"
2020-04-18,20,"Wyoming"
2020-04-19,20,"Wyoming"
2020-04-20,33,"Wyoming"
2020-04-21,48,"Wyoming"
2020-04-22,28,"Wyoming"
2020-04-23,39,"Wyoming"
2020-04-24,31,"Wyoming"
2020-04-25,22,"Wyoming"
2020-04-26,16,"Wyoming"
2020-04-27,30,"Wyoming"
2020-04-28,37,"Wyoming"
2020-04-29,26,"Wyoming"
2020-04-30,24,"Wyoming"
2020-05-01,21,"Wyoming"
2020-05-02,10,"Wyoming"
2020-05-03,10,"Wyoming"
2020-05-04,26,"Wyoming"
2020-05-05,35,"Wyoming"
2020-05-06,30,"Wyoming"
2020-05-07,23,"Wyoming"
2020-05-08,28,"Wyoming"
2020-05-09,11,"Wyoming"
2020-05-10,15,"Wyoming"
2020-05-11,21,"Wyoming"
2020-05-12,27,"Wyoming"
2020-05-13,43,"Wyoming"
2020-05-14,29,"Wyoming"
2020-05-15,14,"Wyoming"
2020-05-16,5,"Wyoming"
2020-02-18,3,"Wisconsin"
2020-02-19,5,"Wisconsin"
2020-02-20,4,"Wisconsin"
2020-02-21,6,"Wisconsin"
2020-02-22,3,"Wisconsin"
2020-02-23,2,"Wisconsin"
2020-02-24,3,"Wisconsin"
2020-02-25,5,"Wisconsin"
2020-02-26,3,"Wisconsin"
2020-02-27,4,"Wisconsin"
2020-02-28,3,"Wisconsin"
2020-02-29,4,"Wisconsin"
2020-03-01,3,"Wisconsin"
2020-03-02,3,"Wisconsin"
2020-03-03,3,"Wisconsin"
2020-03-04,5,"Wisconsin"
2020-03-05,3,"Wisconsin"
2020-03-06,4,"Wisconsin"
2020-03-07,4,"Wisconsin"
2020-03-08,3,"Wisconsin"
2020-03-09,5,"Wisconsin"
2020-03-10,7,"Wisconsin"
2020-03-11,7,"Wisconsin"
2020-03-12,8,"Wisconsin"
2020-03-13,10,"Wisconsin"
2020-03-14,10,"Wisconsin"
2020-03-15,8,"Wisconsin"
2020-03-16,30,"Wisconsin"
2020-03-17,36,"Wisconsin"
2020-03-18,42,"Wisconsin"
2020-03-19,51,"Wisconsin"
2020-03-20,41,"Wisconsin"
2020-03-21,32,"Wisconsin"
2020-03-22,39,"Wisconsin"
2020-03-23,62,"Wisconsin"
2020-03-24,66,"Wisconsin"
2020-03-25,65,"Wisconsin"
2020-03-26,70,"Wisconsin"
2020-03-27,75,"Wisconsin"
2020-03-28,70,"Wisconsin"
2020-03-29,70,"Wisconsin"
2020-03-30,84,"Wisconsin"
2020-03-31,95,"Wisconsin"
2020-04-01,100,"Wisconsin"
2020-04-02,87,"Wisconsin"
2020-04-03,92,"Wisconsin"
2020-04-04,59,"Wisconsin"
2020-04-05,62,"Wisconsin"
2020-04-06,76,"Wisconsin"
2020-04-07,77,"Wisconsin"
2020-04-08,82,"Wisconsin"
2020-04-09,80,"Wisconsin"
2020-04-10,56,"Wisconsin"
2020-04-11,60,"Wisconsin"
2020-04-12,83,"Wisconsin"
2020-04-13,57,"Wisconsin"
2020-04-14,67,"Wisconsin"
2020-04-15,71,"Wisconsin"
2020-04-16,63,"Wisconsin"
2020-04-17,68,"Wisconsin"
2020-04-18,52,"Wisconsin"
2020-04-19,47,"Wisconsin"
2020-04-20,49,"Wisconsin"
2020-04-21,55,"Wisconsin"
2020-04-22,62,"Wisconsin"
2020-04-23,60,"Wisconsin"
2020-04-24,57,"Wisconsin"
2020-04-25,40,"Wisconsin"
2020-04-26,40,"Wisconsin"
2020-04-27,53,"Wisconsin"
2020-04-28,54,"Wisconsin"
2020-04-29,56,"Wisconsin"
2020-04-30,56,"Wisconsin"
2020-05-01,47,"Wisconsin"
2020-05-02,28,"Wisconsin"
2020-05-03,30,"Wisconsin"
2020-05-04,39,"Wisconsin"
2020-05-05,48,"Wisconsin"
2020-05-06,49,"Wisconsin"
2020-05-07,47,"Wisconsin"
2020-05-08,42,"Wisconsin"
2020-05-09,28,"Wisconsin"
2020-05-10,32,"Wisconsin"
2020-05-11,41,"Wisconsin"
2020-05-12,48,"Wisconsin"
2020-05-13,43,"Wisconsin"
2020-05-14,42,"Wisconsin"
2020-05-15,36,"Wisconsin"
2020-05-16,18,"Wisconsin"
2020-02-18,6,"West Virginia"
2020-02-19,8,"West Virginia"
2020-02-20,4,"West Virginia"
2020-02-21,4,"West Virginia"
2020-02-22,9,"West Virginia"
2020-02-23,0,"West Virginia"
2020-02-24,10,"West Virginia"
2020-02-25,8,"West Virginia"
2020-02-26,10,"West Virginia"
2020-02-27,6,"West Virginia"
2020-02-28,6,"West Virginia"
2020-02-29,9,"West Virginia"
2020-03-01,7,"West Virginia"
2020-03-02,6,"West Virginia"
2020-03-03,4,"West Virginia"
2020-03-04,0,"West Virginia"
2020-03-05,4,"West Virginia"
2020-03-06,8,"West Virginia"
2020-03-07,8,"West Virginia"
2020-03-08,5,"West Virginia"
2020-03-09,5,"West Virginia"
2020-03-10,4,"West Virginia"
2020-03-11,9,"West Virginia"
2020-03-12,15,"West Virginia"
2020-03-13,16,"West Virginia"
2020-03-14,9,"West Virginia"
2020-03-15,9,"West Virginia"
2020-03-16,23,"West Virginia"
2020-03-17,34,"West Virginia"
2020-03-18,24,"West Virginia"
2020-03-19,44,"West Virginia"
2020-03-20,36,"West Virginia"
2020-03-21,25,"West Virginia"
2020-03-22,24,"West Virginia"
2020-03-23,54,"West Virginia"
2020-03-24,73,"West Virginia"
2020-03-25,71,"West Virginia"
2020-03-26,68,"West Virginia"
2020-03-27,69,"West Virginia"
2020-03-28,37,"West Virginia"
2020-03-29,44,"West Virginia"
2020-03-30,100,"West Virginia"
2020-03-31,76,"West Virginia"
2020-04-01,74,"West Virginia"
2020-04-02,94,"West Virginia"
2020-04-03,78,"West Virginia"
2020-04-04,37,"West Virginia"
2020-04-05,30,"West Virginia"
2020-04-06,51,"West Virginia"
2020-04-07,72,"West Virginia"
2020-04-08,75,"West Virginia"
2020-04-09,58,"West Virginia"
2020-04-10,33,"West Virginia"
2020-04-11,24,"West Virginia"
2020-04-12,45,"West Virginia"
2020-04-13,36,"West Virginia"
2020-04-14,56,"West Virginia"
2020-04-15,54,"West Virginia"
2020-04-16,71,"West Virginia"
2020-04-17,46,"West Virginia"
2020-04-18,33,"West Virginia"
2020-04-19,37,"West Virginia"
2020-04-20,52,"West Virginia"
2020-04-21,54,"West Virginia"
2020-04-22,59,"West Virginia"
2020-04-23,63,"West Virginia"
2020-04-24,52,"West Virginia"
2020-04-25,33,"West Virginia"
2020-04-26,38,"West Virginia"
2020-04-27,40,"West Virginia"
2020-04-28,51,"West Virginia"
2020-04-29,45,"West Virginia"
2020-04-30,52,"West Virginia"
2020-05-01,53,"West Virginia"
2020-05-02,37,"West Virginia"
2020-05-03,24,"West Virginia"
2020-05-04,33,"West Virginia"
2020-05-05,27,"West Virginia"
2020-05-06,32,"West Virginia"
2020-05-07,40,"West Virginia"
2020-05-08,40,"West Virginia"
2020-05-09,26,"West Virginia"
2020-05-10,31,"West Virginia"
2020-05-11,33,"West Virginia"
2020-05-12,32,"West Virginia"
2020-05-13,31,"West Virginia"
2020-05-14,37,"West Virginia"
2020-05-15,27,"West Virginia"
2020-05-16,12,"West Virginia"
2020-02-18,6,"Washington"
2020-02-19,5,"Washington"
2020-02-20,6,"Washington"
2020-02-21,6,"Washington"
2020-02-22,4,"Washington"
2020-02-23,3,"Washington"
2020-02-24,7,"Washington"
2020-02-25,5,"Washington"
2020-02-26,6,"Washington"
2020-02-27,7,"Washington"
2020-02-28,5,"Washington"
2020-02-29,5,"Washington"
2020-03-01,5,"Washington"
2020-03-02,5,"Washington"
2020-03-03,7,"Washington"
2020-03-04,9,"Washington"
2020-03-05,10,"Washington"
2020-03-06,12,"Washington"
2020-03-07,7,"Washington"
2020-03-08,6,"Washington"
2020-03-09,18,"Washington"
2020-03-10,15,"Washington"
2020-03-11,14,"Washington"
2020-03-12,20,"Washington"
2020-03-13,19,"Washington"
2020-03-14,14,"Washington"
2020-03-15,16,"Washington"
2020-03-16,31,"Washington"
2020-03-17,34,"Washington"
2020-03-18,41,"Washington"
2020-03-19,44,"Washington"
2020-03-20,49,"Washington"
2020-03-21,37,"Washington"
2020-03-22,40,"Washington"
2020-03-23,63,"Washington"
2020-03-24,75,"Washington"
2020-03-25,79,"Washington"
2020-03-26,82,"Washington"
2020-03-27,86,"Washington"
